CodigoRuta;DANE IED;IED;Tipo;Destino;Direccion
J-4037-39-V2;111000000000;COLEGIO CUNDINAMARCA (IED);COMPLEMENTARIA;PARQUE TUNAL;CL 48C S 22D 81
J-4037-39-V1;111000000000;COLEGIO CUNDINAMARCA (IED);COMPLEMENTARIA;PARQUE TUNAL;CL 48C S 22D 81
J-4037-38-V2;111000000000;COLEGIO CUNDINAMARCA (IED);COMPLEMENTARIA;PARQUE TUNAL;CL 48C S 22D 81
J-4037-38-V1;111000000000;COLEGIO CUNDINAMARCA (IED);COMPLEMENTARIA;PARQUE TUNAL;CL 48C S 22D 81
J-4037-37-V4;111000000000;COLEGIO CUNDINAMARCA (IED);COMPLEMENTARIA;PARQUE TUNAL;CL 48C S 22D 81
J-4037-37-V3;111000000000;COLEGIO CUNDINAMARCA (IED);COMPLEMENTARIA;PARQUE TUNAL;CL 48C S 22D 81
J-4037-37-V2;111000000000;COLEGIO CUNDINAMARCA (IED);COMPLEMENTARIA;PARQUE TUNAL;CL 48C S 22D 81
J-4037-37-V1;111000000000;COLEGIO CUNDINAMARCA (IED);COMPLEMENTARIA;PARQUE TUNAL;CL 48C S 22D 81
J-4037-36-V3;111000000000;COLEGIO CUNDINAMARCA (IED);COMPLEMENTARIA;PARQUE TUNAL;CL 48C S 22D 81
J-4037-36-V2;111000000000;COLEGIO CUNDINAMARCA (IED);COMPLEMENTARIA;PARQUE TUNAL;CL 48C S 22D 81
J-4037-36-V1;111000000000;COLEGIO CUNDINAMARCA (IED);COMPLEMENTARIA;PARQUE TUNAL;CL 48C S 22D 81
J-4037-35-V2;111000000000;COLEGIO CUNDINAMARCA (IED);COMPLEMENTARIA;PARQUE TUNAL;CL 48C S 22D 81
J-4037-35-V1;111000000000;COLEGIO CUNDINAMARCA (IED);COMPLEMENTARIA;PARQUE TUNAL;CL 48C S 22D 81
J-4037-31-V1;111000000000;COLEGIO CUNDINAMARCA (IED);COMPLEMENTARIA;PARQUE TUNAL;CL 48C S 22D 81
J-4039-06-V1;111000000000;COLEGIO EL TESORO DE LA CUMBRE (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4039-05-V1;111000000000;COLEGIO EL TESORO DE LA CUMBRE (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4039-04-V1;111000000000;COLEGIO EL TESORO DE LA CUMBRE (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4039-03-V1;111000000000;COLEGIO EL TESORO DE LA CUMBRE (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4039-02-V1;111000000000;COLEGIO EL TESORO DE LA CUMBRE (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4039-01-V1;111000000000;COLEGIO EL TESORO DE LA CUMBRE (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4041-02-V2;111000000000;COLEGIO ISMAEL PERDOMO (IED);COMPLEMENTARIA;CBI  COMPENSAR CENTRO MAYOR;CL 38A S 34B 04
J-4041-02-V1;111000000000;COLEGIO ISMAEL PERDOMO (IED);COMPLEMENTARIA;CBI  COMPENSAR CENTRO MAYOR;CL 38A S 34B 04
J-4041-01-V2;111000000000;COLEGIO ISMAEL PERDOMO (IED);COMPLEMENTARIA;CBI  COMPENSAR CENTRO MAYOR;CL 38A S 34B 04
J-4041-01-V1;111000000000;COLEGIO ISMAEL PERDOMO (IED);COMPLEMENTARIA;CBI  COMPENSAR CENTRO MAYOR;CL 38A S 34B 04
J-4043-07-V5;111000000000;COLEGIO LA ARABIA (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4043-07-V3;111000000000;COLEGIO LA ARABIA (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4043-07-V2;111000000000;COLEGIO LA ARABIA (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4043-06-V3;111000000000;COLEGIO LA ARABIA (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
