CodigoRuta;DANE IED;IED;Tipo;Destino;Direccion
J-4177-09-V1;1,11E+11;COLEGIO JULIO GARAVITO ARMERO (IED);COMPLEMENTARIA;PARQUE EL JAZMÍN;AK 50 1D-28
J-4177-12-V1;1,11E+11;COLEGIO JULIO GARAVITO ARMERO (IED);COMPLEMENTARIA;PARQUE EL JAZMÍN;AK 50 1D-28
J-4177-11-V1;1,11E+11;COLEGIO JULIO GARAVITO ARMERO (IED);COMPLEMENTARIA;PARQUE EL JAZMÍN;AK 50 1D-28
J-4180-03-V6;1,11E+11;COLEGIO FRANCISCO JAVIER MATIZ (IED);COMPLEMENTARIA;CREA GUSTAVO RESTREPO;CL 27A SUR 15 51
J-4180-03-V5;1,11E+11;COLEGIO FRANCISCO JAVIER MATIZ (IED);COMPLEMENTARIA;CREA GUSTAVO RESTREPO;CL 27A SUR 15 51
J-4180-03-V4;1,11E+11;COLEGIO FRANCISCO JAVIER MATIZ (IED);COMPLEMENTARIA;CREA GUSTAVO RESTREPO;CL 27A SUR 15 51
J-4180-03-V2;1,11E+11;COLEGIO FRANCISCO JAVIER MATIZ (IED);COMPLEMENTARIA;CREA GUSTAVO RESTREPO;CL 27A SUR 15 51
J-4180-03-V1;1,11E+11;COLEGIO FRANCISCO JAVIER MATIZ (IED);COMPLEMENTARIA;CREA GUSTAVO RESTREPO;CL 27A SUR 15 51
J-4180-02-V2;1,11E+11;COLEGIO FRANCISCO JAVIER MATIZ (IED);COMPLEMENTARIA;CREA GUSTAVO RESTREPO;CL 27A SUR 15 51
J-4180-02-V1;1,11E+11;COLEGIO FRANCISCO JAVIER MATIZ (IED);COMPLEMENTARIA;CREA GUSTAVO RESTREPO;CL 27A SUR 15 51
J-4188-06-V1;3,11E+11;COLEGIO LOS PINOS (IED);COMPLEMENTARIA;CREA LA PEPITA;KR 25 10 78
J-4188-05-V1;3,11E+11;COLEGIO LOS PINOS (IED);COMPLEMENTARIA;CREA LA PEPITA;KR 25 10 78
J-4188-04-V1;3,11E+11;COLEGIO LOS PINOS (IED);COMPLEMENTARIA;CREA LA PEPITA;KR 25 10 78
J-4188-03-V1;3,11E+11;COLEGIO LOS PINOS (IED);COMPLEMENTARIA;CREA LA PEPITA;KR 25 10 78
J-4188-02-V1;3,11E+11;COLEGIO LOS PINOS (IED);COMPLEMENTARIA;CREA LA PEPITA;KR 25 10 78
J-4188-01-V1;3,11E+11;COLEGIO LOS PINOS (IED);COMPLEMENTARIA;CREA LA PEPITA;KR 25 10 78
R-500;2,12E+11;COLEGIO RURAL PASQUILLA (IED);RURAL;NA;NA
R-501;2,12E+11;COLEGIO RURAL PASQUILLA (IED);RURAL;NA;NA
R-502;2,12E+11;COLEGIO RURAL PASQUILLA (IED);RURAL;NA;NA
T-1063;2,1185E+11;COLEGIO TENERIFE - GRANADA SUR (IED);URBANO;NA;NA
T-1064;2,1185E+11;COLEGIO TENERIFE - GRANADA SUR (IED);URBANO;NA;NA
U-085;1,11E+11;COLEGIO DIEGO MONTAÑA CUELLAR (IED);URBANO;NA;NA
J-4206-06-V1;1,11E+11;COLEGIO MAGDALENA ORTEGA DE NARIÑO (IED);COMPLEMENTARIA;PARQUE SAUZALITO;CL 22 68 D 43
T-1051;1,11E+11;COLEGIO MARCO TULIO FERNANDEZ (IED);TRASLADO;NA;NA
T-1052;1,11E+11;COLEGIO MARCO TULIO FERNANDEZ (IED);TRASLADO;NA;NA
T-1053;1,11E+11;COLEGIO MARCO TULIO FERNANDEZ (IED);TRASLADO;NA;NA
T-1054;1,11E+11;COLEGIO MARCO TULIO FERNANDEZ (IED);TRASLADO;NA;NA
T-1055;1,11E+11;COLEGIO MARCO TULIO FERNANDEZ (IED);TRASLADO;NA;NA
U-1007;1,11E+11;COLEGIO TABORA (IED);URBANO;NA;NA
U-1022;1,11E+11;COLEGIO TOMAS CARRASQUILLA (IED);URBANO;NA;NA
U-1024;1,11E+11;COLEGIO LA PALESTINA (IED);URBANO;NA;NA
U-1065;1,11E+11;COLEGIO ROBERT F. KENNEDY (IED);URBANO;NA;NA
U-1109;1,11E+11;COLEGIO JUAN FRANCISCO BERBEO (IED);URBANO;NA;NA
J-4210-04-V4;1,11E+11;COLEGIO LA BELLEZA LOS LIBERTADORES (IED);COMPLEMENTARIA;CREA ENTRENUBES;TV 14 ESTE 69 31
J-4210-04-V3;1,11E+11;COLEGIO LA BELLEZA LOS LIBERTADORES (IED);COMPLEMENTARIA;CREA ENTRENUBES;TV 14 ESTE 69 31
J-4210-04-V2;1,11E+11;COLEGIO LA BELLEZA LOS LIBERTADORES (IED);COMPLEMENTARIA;CREA ENTRENUBES;TV 14 ESTE 69 31
J-4210-04-V1;1,11E+11;COLEGIO LA BELLEZA LOS LIBERTADORES (IED);COMPLEMENTARIA;CREA ENTRENUBES;TV 14 ESTE 69 31
J-4210-02-V3;1,11E+11;COLEGIO LA BELLEZA LOS LIBERTADORES (IED);COMPLEMENTARIA;CREA ENTRENUBES;TV 14 ESTE 69 31
J-4210-02-V2;1,11E+11;COLEGIO LA BELLEZA LOS LIBERTADORES (IED);COMPLEMENTARIA;CREA ENTRENUBES;TV 14 ESTE 69 31
J-4210-02-V1;1,11E+11;COLEGIO LA BELLEZA LOS LIBERTADORES (IED);COMPLEMENTARIA;CREA ENTRENUBES;TV 14 ESTE 69 31
J-4210-01-V2;1,11E+11;COLEGIO LA BELLEZA LOS LIBERTADORES (IED);COMPLEMENTARIA;CREA ENTRENUBES;TV 14 ESTE 69 31
J-4210-01-V1;1,11E+11;COLEGIO LA BELLEZA LOS LIBERTADORES (IED);COMPLEMENTARIA;CREA ENTRENUBES;TV 14 ESTE 69 31
J-4229-04-V1;1,11E+11;COLEGIO ATANASIO GIRARDOT (IED);COMPLEMENTARIA;CREA GUSTAVO RESTREPO;CL 27 A SUR 15 51
J-4229-03-V2;1,11E+11;COLEGIO ATANASIO GIRARDOT (IED);COMPLEMENTARIA;CREA GUSTAVO RESTREPO;CL 27 A SUR 15 51
J-4229-03-V1;1,11E+11;COLEGIO ATANASIO GIRARDOT (IED);COMPLEMENTARIA;CREA GUSTAVO RESTREPO;CL 27 A SUR 15 51
J-4229-02-V2;1,11E+11;COLEGIO ATANASIO GIRARDOT (IED);COMPLEMENTARIA;CREA GUSTAVO RESTREPO;CL 27 A SUR 15 51
J-4229-02-V1;1,11E+11;COLEGIO ATANASIO GIRARDOT (IED);COMPLEMENTARIA;CREA GUSTAVO RESTREPO;CL 27 A SUR 15 51
J-4229-01-V2;1,11E+11;COLEGIO ATANASIO GIRARDOT (IED);COMPLEMENTARIA;CREA GUSTAVO RESTREPO;CL 27 A SUR 15 51
J-4229-01-V1;1,11E+11;COLEGIO ATANASIO GIRARDOT (IED);COMPLEMENTARIA;CREA GUSTAVO RESTREPO;CL 27 A SUR 15 51
J-4233-05-V3;1,11E+11;COLEGIO ESTRELLA DEL SUR (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4233-05-V2;1,11E+11;COLEGIO ESTRELLA DEL SUR (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4233-05-V1;1,11E+11;COLEGIO ESTRELLA DEL SUR (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4233-03-V2;1,11E+11;COLEGIO ESTRELLA DEL SUR (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4233-06-V3;1,11E+11;COLEGIO ESTRELLA DEL SUR (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
J-4233-06-V2;1,11E+11;COLEGIO ESTRELLA DEL SUR (IED);COMPLEMENTARIA;PARQUE METROPOLITANO EL TUNAL ;CL 48C S 22D 81
