Sentidos;CodRuta;Id Localid;Localidad;SegOpe;Proveedor;TipoRuta;VehCod;VehTip;VehMRed;TipoEst;IEDDANE;IED;Sede;Jornada;Zona;HoraIniR1;HoraFinJE;HoraIniR2;NumHoras1;NumHoras2;NumHorasT;Lunes;Martes;Mc;Jueves;Viernes;Sabado;Domingo;TipoPob;Hora_IniJE;Min_Ini;Min_Fin;vertex_pos;vertex_ind;vertex_par;vertex_p_1;distance;angle;id_3;left;top;right;bottom;row_index;col_index;Dias_op;KM_Ruta;Zona
R1;S-019;20;SUMAPAZ;23_SII_2025;UNIÓN TEMPORAL ALIANZA TRANSNACIONAL;SUMAPAZ;13;MICROBUS;NO;DISTRITAL;2,1185E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);A;ÚNICA;RURAL;6:00;14:55;15:00;2;2;4;1;1;1;1;1;0;0;GENERAL;7:15;360;435;-1;1596;0;1596;19628,42882;191,6024655;327;967344,0563;932624,1172;969653,4574;930624,1172;46;5;5;39,256;0
R1;S-023;20;SUMAPAZ;23_SII_2025;UNIÓN TEMPORAL ALIANZA TRANSNACIONAL;SUMAPAZ;13;MICROBUS;NO;DISTRITAL;2,1185E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);A/C;ÚNICA;RURAL;6:24;15:00;15:05;1;1;2;1;1;1;1;1;0;0;GENERAL;7:15;384;435;-1;921;0;921;10991,75003;34,72643733;327;967344,0563;932624,1172;969653,4574;930624,1172;46;5;5;21,984;0
R1;S-042;20;SUMAPAZ;23_SII_2025;UNIÓN TEMPORAL ALIANZA TRANSNACIONAL;SUMAPAZ;13;MICROBUS;NO;DISTRITAL;2,1185E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);A/B/C;ÚNICA;RURAL;6:40;14:55;15:00;1;1;2;1;1;1;1;1;0;0;GENERAL;7:30;400;450;-1;818;0;818;8553,140549;33,55407166;327;967344,0563;932624,1172;969653,4574;930624,1172;46;5;5;17,106;0
R1;S-043;20;SUMAPAZ;23_SII_2025;UNIÓN TEMPORAL ALIANZA TRANSNACIONAL;SUMAPAZ;13;MICROBUS;NO;DISTRITAL;2,1185E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);A;ÚNICA;RURAL;7:05;14:55;15:00;1;1;2;1;1;1;1;1;0;0;GENERAL;7:30;425;450;-1;262;0;262;3343,311025;53,7521205;327;967344,0563;932624,1172;969653,4574;930624,1172;46;5;5;6,686;0
R1;S-045;20;SUMAPAZ;23_SII_2025;UNIÓN TEMPORAL ALIANZA TRANSNACIONAL;SUMAPAZ;13;MICROBUS;NO;DISTRITAL;2,1185E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);E/F/G;ÚNICA;RURAL;6:50;14:35;14:40;1;1;2;1;1;1;1;1;0;0;GENERAL;7:50;410;470;-1;774;0;774;17086,36317;38,24687485;386;969076,1071;927624,1172;971385,5082;925624,1172;49;6;5;33,532;0
R1;S-016;20;SUMAPAZ;23_SII_2025;UNIÓN TEMPORAL ALIANZA TRANSNACIONAL;SUMAPAZ;11;BUSETA;NO;DISTRITAL;2,1185E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);B/E/F;ÚNICA;RURAL;6:30;14:55;15:00;1;1;2;1;1;1;1;1;0;0;GENERAL;7:30;390;450;-1;916;0;916;14325,89725;341,5088606;440;970808,158;930624,1172;973117,559;928624,1172;47;7;5;28,651;0
R1;S-020;20;SUMAPAZ;23_SII_2025;UNIÓN TEMPORAL ALIANZA TRANSNACIONAL;SUMAPAZ;10;BUS;NO;DISTRITAL;2,1185E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);B/F;ÚNICA;RURAL;6:25;14:55;15:00;2;2;4;1;1;1;1;1;0;0;GENERAL;7:30;385;450;-1;1464;0;1464;19807,51409;338,0237285;440;970808,158;930624,1172;973117,559;928624,1172;47;7;5;39,614;0
R1;S-028;20;SUMAPAZ;23_SII_2025;UNIÓN TEMPORAL ALIANZA TRANSNACIONAL;SUMAPAZ;11;BUSETA;NO;DISTRITAL;2,1185E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);B/H;ÚNICA;RURAL;6:20;14:55;15:00;2;2;4;1;1;1;1;1;0;0;GENERAL;7:30;380;450;-1;905;0;905;14273,68662;338,1313566;440;970808,158;930624,1172;973117,559;928624,1172;47;7;5;28,546;0
R1;S-021;20;SUMAPAZ;23_SII_2025;UNIÓN TEMPORAL ALIANZA TRANSNACIONAL;SUMAPAZ;11;BUSETA;NO;DISTRITAL;2,1185E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);D/H/I;ÚNICA;RURAL;6:10;14:55;15:00;2;2;4;1;1;1;1;1;0;0;GENERAL;7:30;370;450;-1;863;0;863;17486,15969;12,97556751;548;974272,2596;938624,1172;976581,6606;936624,1172;43;9;5;34,967;0
R1;E-014;20;SUMAPAZ;2_CV_2025;CONSORCIO RUTAS SEGURAS;ESPECIAL;14;VAN-FDS;NO;DISTRITAL;2,1185E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);I;FIN DE SEMANA;RURAL-S;6:30;15:55;16:00;2;2;4;0;0;0;0;0;1;1;GENERAL;7:50;390;470;-1;820;0;820;16879,04561;144,5628891;548;974272,2596;938624,1172;976581,6606;936624,1172;43;9;2;33,766;0
R1;S-024;20;SUMAPAZ;23_SII_2025;UNIÓN TEMPORAL ALIANZA TRANSNACIONAL;SUMAPAZ;13;MICROBUS;NO;DISTRITAL;2,1185E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);D/H/I;ÚNICA;RURAL;6:05;14:55;15:00;2;2;4;1;1;1;1;1;0;0;GENERAL;7:30;365;450;-1;859;0;859;22359,41375;212,3612917;548;974272,2596;938624,1172;976581,6606;936624,1172;43;9;5;46,763;0
R1;S-027;20;SUMAPAZ;23_SII_2025;UNIÓN TEMPORAL ALIANZA TRANSNACIONAL;SUMAPAZ;13;MICROBUS;NO;DISTRITAL;2,1185E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);I/K;ÚNICA;RURAL;6:40;14:55;15:00;1;1;2;1;1;1;1;1;0;0;GENERAL;7:30;400;450;-1;599;0;599;12796,43024;199,1837256;548;974272,2596;938624,1172;976581,6606;936624,1172;43;9;5;25,592;0
R1;S-052;20;SUMAPAZ;2_CV_2025;CONSORCIO RUTAS SEGURAS;SUMAPAZ;12;CAMIONETA 4x4;NO;DISTRITAL;2,1185E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);I;ÚNICA;RURAL-S;6:00;14:55;15:00;2;2;4;1;1;1;1;1;0;0;GENERAL;7:30;360;450;-1;925;0;925;20020,5039;199,8065683;548;974272,2596;938624,1172;976581,6606;936624,1172;43;9;5;40,04;0
R1;S-053;20;SUMAPAZ;2_CV_2025;CONSORCIO RUTAS SEGURAS;SUMAPAZ;12;CAMIONETA 4x4;NO;DISTRITAL;2,1185E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);I;ÚNICA;RURAL-S;6:30;14:55;15:00;1;1;2;1;1;1;1;1;0;0;GENERAL;7:30;390;450;-1;709;0;709;14469,95104;199,8065683;548;974272,2596;938624,1172;976581,6606;936624,1172;43;9;5;28,94;0
R1;S-050;20;SUMAPAZ;2_CV_2025;CONSORCIO RUTAS SEGURAS;SUMAPAZ;14;VAN;NO;DISTRITAL;2,1185E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);J/K;ÚNICA;RURAL-S;6:50;14:55;15:00;1;1;2;1;1;1;1;1;0;0;GENERAL;7:30;410;450;-1;547;0;547;12075,04634;202,2353829;548;974272,2596;938624,1172;976581,6606;936624,1172;43;9;5;24,15;0
R1;S-022;20;SUMAPAZ;23_SII_2025;UNIÓN TEMPORAL ALIANZA TRANSNACIONAL;SUMAPAZ;10;BUS;NO;DISTRITAL;2,1185E+11;COLEGIO GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA (IED);A;ÚNICA;RURAL;5:50;14:55;15:00;2;2;4;1;1;1;1;1;0;0;GENERAL;7:15;350;435;-1;880;1;0;10687,39054;0;820;982932,5136;955624,1172;985241,9147;953624,1172;35;14;5;61,606;0
R1;R-188;7;BOSA;12_SII_2025;UNIÓN TEMPORAL VET 2023;RURAL;13;MICROBUS;NO;DISTRITAL;1,11001E+11;COLEGIO KIMI PERNIA DOMICO (IED);A;MAÑANA;RURAL;5:50;11:55;12:00;1;1;2;1;1;1;1;1;0;0;GENERAL;6:10;350;370;-1;126;0;126;3008,960554;154,987199;851;984664,5644;1004624,117;986973,9655;1002624,117;10;15;5;5,766;0
R1;R-189;7;BOSA;12_SII_2025;UNIÓN TEMPORAL VET 2023;RURAL;11;BUSETA;NO;DISTRITAL;1,11001E+11;COLEGIO KIMI PERNIA DOMICO (IED);A;MAÑANA;RURAL;5:35;11:55;12:00;1;1;2;1;1;1;1;1;0;0;GENERAL;6:10;335;370;-1;210;0;210;5786,082549;155,6245579;851;984664,5644;1004624,117;986973,9655;1002624,117;10;15;5;11,372;0
R1;R-190;7;BOSA;12_SII_2025;UNIÓN TEMPORAL VET 2023;RURAL;11;BUSETA;NO;DISTRITAL;1,11001E+11;COLEGIO KIMI PERNIA DOMICO (IED);A;MAÑANA;RURAL;5:10;11:55;12:00;1;1;2;1;1;1;1;1;0;0;GENERAL;6:10;310;370;-1;504;0;504;11421,01988;338,1414977;851;984664,5644;1004624,117;986973,9655;1002624,117;10;15;5;22,512;0
